customer_no,timestamp,customer_no,location,before
tu1,2019-09-03 07:02:00,tu1,fruit,entrance
tu1,2019-09-03 07:03:00,tu1,fruit,fruit
tu1,2019-09-03 07:04:00,tu1,fruit,fruit
tu1,2019-09-03 07:05:00,tu1,drinks,fruit
tu1,2019-09-03 07:06:00,tu1,drinks,drinks
tu1,2019-09-03 07:07:00,tu1,drinks,drinks
tu1,2019-09-03 07:08:00,tu1,drinks,drinks
tu1,2019-09-03 07:09:00,tu1,drinks,drinks
tu1,2019-09-03 07:10:00,tu1,drinks,drinks
tu1,2019-09-03 07:11:00,tu1,drinks,drinks
tu1,2019-09-03 07:12:00,tu1,checkout,drinks
tu10,2019-09-03 07:10:00,tu10,fruit,entrance
tu10,2019-09-03 07:11:00,tu10,fruit,fruit
tu10,2019-09-03 07:12:00,tu10,fruit,fruit
tu10,2019-09-03 07:13:00,tu10,fruit,fruit
tu10,2019-09-03 07:14:00,tu10,checkout,fruit
tu100,2019-09-03 07:57:00,tu100,dairy,entrance
tu100,2019-09-03 07:58:00,tu100,checkout,dairy
tu1000,2019-09-03 17:53:00,tu1000,fruit,entrance
tu1000,2019-09-03 17:54:00,tu1000,dairy,fruit
tu1000,2019-09-03 17:55:00,tu1000,dairy,dairy
tu1000,2019-09-03 17:56:00,tu1000,dairy,dairy
tu1000,2019-09-03 17:57:00,tu1000,checkout,dairy
tu1001,2019-09-03 17:53:00,tu1001,fruit,entrance
tu1001,2019-09-03 17:54:00,tu1001,dairy,fruit
tu1001,2019-09-03 17:55:00,tu1001,dairy,dairy
tu1001,2019-09-03 17:56:00,tu1001,dairy,dairy
tu1001,2019-09-03 17:57:00,tu1001,dairy,dairy
tu1001,2019-09-03 17:58:00,tu1001,dairy,dairy
tu1001,2019-09-03 17:59:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:00:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:01:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:02:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:03:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:04:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:05:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:06:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:07:00,tu1001,dairy,dairy
tu1001,2019-09-03 18:08:00,tu1001,drinks,dairy
tu1001,2019-09-03 18:09:00,tu1001,drinks,drinks
tu1001,2019-09-03 18:10:00,tu1001,spices,drinks
tu1001,2019-09-03 18:11:00,tu1001,spices,spices
tu1001,2019-09-03 18:12:00,tu1001,spices,spices
tu1001,2019-09-03 18:13:00,tu1001,checkout,spices
tu1002,2019-09-03 17:53:00,tu1002,fruit,entrance
tu1002,2019-09-03 17:54:00,tu1002,fruit,fruit
tu1002,2019-09-03 17:55:00,tu1002,fruit,fruit
tu1002,2019-09-03 17:56:00,tu1002,fruit,fruit
tu1002,2019-09-03 17:57:00,tu1002,checkout,fruit
tu1003,2019-09-03 17:55:00,tu1003,fruit,entrance
tu1003,2019-09-03 17:56:00,tu1003,fruit,fruit
tu1003,2019-09-03 17:57:00,tu1003,fruit,fruit
tu1003,2019-09-03 17:58:00,tu1003,fruit,fruit
tu1003,2019-09-03 17:59:00,tu1003,fruit,fruit
tu1003,2019-09-03 18:00:00,tu1003,spices,fruit
tu1003,2019-09-03 18:01:00,tu1003,spices,spices
tu1003,2019-09-03 18:02:00,tu1003,spices,spices
tu1003,2019-09-03 18:03:00,tu1003,drinks,spices
tu1003,2019-09-03 18:04:00,tu1003,drinks,drinks
tu1003,2019-09-03 18:05:00,tu1003,drinks,drinks
tu1003,2019-09-03 18:06:00,tu1003,fruit,drinks
tu1003,2019-09-03 18:07:00,tu1003,fruit,fruit
tu1003,2019-09-03 18:08:00,tu1003,drinks,fruit
tu1003,2019-09-03 18:09:00,tu1003,drinks,drinks
tu1003,2019-09-03 18:10:00,tu1003,drinks,drinks
tu1003,2019-09-03 18:11:00,tu1003,spices,drinks
tu1003,2019-09-03 18:12:00,tu1003,spices,spices
tu1003,2019-09-03 18:13:00,tu1003,spices,spices
tu1003,2019-09-03 18:14:00,tu1003,dairy,spices
tu1003,2019-09-03 18:15:00,tu1003,dairy,dairy
tu1003,2019-09-03 18:16:00,tu1003,fruit,dairy
tu1003,2019-09-03 18:17:00,tu1003,fruit,fruit
tu1003,2019-09-03 18:18:00,tu1003,fruit,fruit
tu1003,2019-09-03 18:19:00,tu1003,dairy,fruit
tu1003,2019-09-03 18:20:00,tu1003,spices,dairy
tu1003,2019-09-03 18:21:00,tu1003,drinks,spices
tu1003,2019-09-03 18:22:00,tu1003,drinks,drinks
tu1003,2019-09-03 18:23:00,tu1003,drinks,drinks
tu1003,2019-09-03 18:24:00,tu1003,drinks,drinks
tu1003,2019-09-03 18:25:00,tu1003,checkout,drinks
tu1004,2019-09-03 17:55:00,tu1004,dairy,entrance
tu1004,2019-09-03 17:56:00,tu1004,dairy,dairy
tu1004,2019-09-03 17:57:00,tu1004,spices,dairy
tu1004,2019-09-03 17:58:00,tu1004,fruit,spices
tu1004,2019-09-03 17:59:00,tu1004,checkout,fruit
tu1005,2019-09-03 17:55:00,tu1005,dairy,entrance
tu1005,2019-09-03 17:56:00,tu1005,dairy,dairy
tu1005,2019-09-03 17:57:00,tu1005,dairy,dairy
tu1005,2019-09-03 17:58:00,tu1005,dairy,dairy
tu1005,2019-09-03 17:59:00,tu1005,checkout,dairy
tu1006,2019-09-03 17:57:00,tu1006,spices,entrance
tu1006,2019-09-03 17:58:00,tu1006,spices,spices
tu1006,2019-09-03 17:59:00,tu1006,dairy,spices
tu1006,2019-09-03 18:00:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:01:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:02:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:03:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:04:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:05:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:06:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:07:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:08:00,tu1006,dairy,dairy
tu1006,2019-09-03 18:09:00,tu1006,checkout,dairy
tu1007,2019-09-03 17:57:00,tu1007,fruit,entrance
tu1007,2019-09-03 17:58:00,tu1007,fruit,fruit
tu1007,2019-09-03 17:59:00,tu1007,fruit,fruit
tu1007,2019-09-03 18:00:00,tu1007,fruit,fruit
tu1007,2019-09-03 18:01:00,tu1007,checkout,fruit
tu1008,2019-09-03 17:58:00,tu1008,dairy,entrance
tu1008,2019-09-03 17:59:00,tu1008,drinks,dairy
tu1008,2019-09-03 18:00:00,tu1008,drinks,drinks
tu1008,2019-09-03 18:01:00,tu1008,drinks,drinks
tu1008,2019-09-03 18:02:00,tu1008,drinks,drinks
tu1008,2019-09-03 18:03:00,tu1008,drinks,drinks
tu1008,2019-09-03 18:04:00,tu1008,drinks,drinks
tu1008,2019-09-03 18:05:00,tu1008,drinks,drinks
tu1008,2019-09-03 18:06:00,tu1008,drinks,drinks
tu1008,2019-09-03 18:07:00,tu1008,drinks,drinks
tu1008,2019-09-03 18:08:00,tu1008,checkout,drinks
tu1009,2019-09-03 17:58:00,tu1009,spices,entrance
tu1009,2019-09-03 17:59:00,tu1009,spices,spices
tu1009,2019-09-03 18:00:00,tu1009,drinks,spices
tu1009,2019-09-03 18:01:00,tu1009,drinks,drinks
tu1009,2019-09-03 18:02:00,tu1009,drinks,drinks
tu1009,2019-09-03 18:03:00,tu1009,drinks,drinks
tu1009,2019-09-03 18:04:00,tu1009,drinks,drinks
tu1009,2019-09-03 18:05:00,tu1009,checkout,drinks
tu101,2019-09-03 07:57:00,tu101,drinks,entrance
tu101,2019-09-03 07:58:00,tu101,drinks,drinks
tu101,2019-09-03 07:59:00,tu101,drinks,drinks
tu101,2019-09-03 08:00:00,tu101,checkout,drinks
tu1010,2019-09-03 17:58:00,tu1010,spices,entrance
tu1010,2019-09-03 17:59:00,tu1010,dairy,spices
tu1010,2019-09-03 18:00:00,tu1010,dairy,dairy
tu1010,2019-09-03 18:01:00,tu1010,dairy,dairy
tu1010,2019-09-03 18:02:00,tu1010,dairy,dairy
